date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:58	1934/1934	---MC-	200	added ('OK')	application/json	date:Tue,%2030%20May%202023%2020:57:57%20GMT	https://www.inarco.com.pe/wp-json/wp/v2/pages/188	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/wp/v2/pages/188.json	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:57:58	2345/2345	---MC-	200	added ('OK')	application/json	date:Tue,%2030%20May%202023%2020:57:58%20GMT	https://www.inarco.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.inarco.com.pe%2Fproyectos-ejecutados%2F	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/oembed/1.0/embed5290.json	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:57:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20May%202023%2020:57:58%20GMT	https://www.inarco.com.pe/?p=188	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/index9e8b.html	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:57:59	2419/2419	---MC-	200	added ('OK')	text/xml	date:Tue,%2030%20May%202023%2020:57:58%20GMT	https://www.inarco.com.pe/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.inarco.com.pe%2Fproyectos-ejecutados%2F&format=xml	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-json/oembed/1.0/embeda866	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:57:59	125165/125165	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Jan%202019%2020:25:32%20GMT	https://www.inarco.com.pe/wp-content/uploads/2019/01/header-proyectos-ejecutados_1.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2019/01/header-proyectos-ejecutados_1.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:57:59	44014/44014	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:59:10%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/deck-upc-villa1.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/deck-upc-villa1.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:00	31697/31697	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:57:17%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/ampliacion-britanico-surco1.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/ampliacion-britanico-surco1.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:00	45627/45627	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:07:17%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/tienda-hm-plaza-arequipa.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/tienda-hm-plaza-arequipa.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:00	50435/50435	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:08:50%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/wong-panorama.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/wong-panorama.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:00	42317/42317	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:58:49%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/condominio-ciudad-nueva-canta-callao.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/condominio-ciudad-nueva-canta-callao.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:01	35878/35878	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:05:26%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/nuevo-campus-utp-sjl.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/nuevo-campus-utp-sjl.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:01	32993/32993	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:02:18%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/hiperbodega-precio-uno.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/hiperbodega-precio-uno.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:01	35518/35518	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:57:21%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/ampliacion-real-plaza-piura.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/ampliacion-real-plaza-piura.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:01	30215/30215	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:06:03%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/planta-gloria-sede-huachipa.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/planta-gloria-sede-huachipa.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:01	31180/31180	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:58:45%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/colegio-futura-schools-sede-piura.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/colegio-futura-schools-sede-piura.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:02	42474/42474	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:58:29%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/centro-distribucion-quimica-anders.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/centro-distribucion-quimica-anders.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:03	33942/33942	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:07:57%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/upc-san-isidro-ampliacion-pabellon-b.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/upc-san-isidro-ampliacion-pabellon-b.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:03	41177/41177	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2021:58:14%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/casco-retail-cc-minka.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/casco-retail-cc-minka.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:03	29029/29029	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:07:01%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/sede-britanico-los-jardines.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/sede-britanico-los-jardines.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:04	22503/22503	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:00:32%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/epc-centro-distribucion-oxford.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/epc-centro-distribucion-oxford.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
15:58:04	31744/31744	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Dec%202018%2022:05:24%20GMT	https://www.inarco.com.pe/wp-content/uploads/2018/11/nuevo-campus-upc-san-miguel.jpg	C:/My%20Web%20Sites/prueba/www.inarco.com.pe/wp-content/uploads/2018/11/nuevo-campus-upc-san-miguel.jpg	(from https://www.inarco.com.pe/proyectos-ejecutados/)
